epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.1045122828, 0.2157784819, 2.4524402618, 0.0642835423
1.0000000000, 0.0300000000, 1.5485432612, 0.3483952179, 2.2347741127, 0.1039761379
2.0000000000, 0.0300000000, 1.3027429890, 0.4586751113, 1.5309545994, 0.4276017845
3.0000000000, 0.0300000000, 1.1790794947, 0.5190594293, 1.4816619158, 0.5537223220
4.0000000000, 0.0300000000, 1.1264128437, 0.5654914031, 1.8111490011, 0.3316584826
5.0000000000, 0.0300000000, 1.0551018498, 0.5760787211, 1.4464087486, 0.5449230075
6.0000000000, 0.0300000000, 0.9970960060, 0.5944864154, 1.4369393587, 0.4637297094
7.0000000000, 0.0300000000, 0.9510305934, 0.6041701757, 1.2572416067, 0.5576061010
8.0000000000, 0.0300000000, 1.1186953466, 0.5604771751, 1.4138581753, 0.4976046979
9.0000000000, 0.0300000000, 0.9774643725, 0.6111613187, 1.9016170502, 0.3587024510
10.0000000000, 0.0300000000, 0.9463778966, 0.6106009127, 1.4878890514, 0.5965626240
11.0000000000, 0.0300000000, 0.9192097040, 0.6269987094, 1.6796530485, 0.3983276784
12.0000000000, 0.0300000000, 0.9970460116, 0.6037924607, 1.3176066875, 0.4891193509
13.0000000000, 0.0300000000, 0.9304583971, 0.6220703280, 1.3561797142, 0.5442532897
14.0000000000, 0.0300000000, 0.9918138571, 0.6141458154, 1.4166860580, 0.4805827439
15.0000000000, 0.0210000000, 0.8390430909, 0.6444945676, 1.4246120453, 0.4908944964
16.0000000000, 0.0210000000, 0.8283727277, 0.6635003384, 1.2889301777, 0.5680571795
17.0000000000, 0.0210000000, 0.8753630697, 0.6300235534, 1.2058352232, 0.5509953499
18.0000000000, 0.0210000000, 0.8007639623, 0.6805030332, 1.2373529673, 0.5946975350
19.0000000000, 0.0147000000, 0.7792312379, 0.7082850980, 1.4028764963, 0.5572217703
