epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.1232697554, 0.3536985502, 2.0649242401, 0.1894679964
1.0000000000, 0.0300000000, 1.6580848042, 0.5447092843, 1.7984347343, 0.1966537088
2.0000000000, 0.0300000000, 1.3554861750, 0.6418508356, 1.5087443590, 0.4286831617
3.0000000000, 0.0300000000, 1.0362236677, 0.7580268290, 1.2739146948, 0.7379235029
4.0000000000, 0.0300000000, 0.8698743079, 0.7947132615, 1.7009170055, 0.5332264304
5.0000000000, 0.0300000000, 0.8022707524, 0.7961933212, 0.9961807728, 0.6721812487
6.0000000000, 0.0300000000, 0.7632551361, 0.8024541158, 1.0319820642, 0.6038250327
7.0000000000, 0.0300000000, 0.6878196602, 0.8327655969, 1.0556982756, 0.6425192356
8.0000000000, 0.0210000000, 0.5973951519, 0.8501811037, 0.7908824682, 0.8354820609
9.0000000000, 0.0210000000, 0.5534294927, 0.8662940767, 16.1786632538, 0.0661274418
10.0000000000, 0.0210000000, 0.7444718108, 0.8132380396, 1.3813183308, 0.6719186306
11.0000000000, 0.0210000000, 0.5765735102, 0.8579899911, 0.9447794557, 0.7677175403
12.0000000000, 0.0210000000, 0.5970794265, 0.8520401279, 1.3232871294, 0.6792851090
13.0000000000, 0.0147000000, 0.5081346976, 0.8743656334, 0.8616155982, 0.7527095079
14.0000000000, 0.0147000000, 0.5004685083, 0.8731146818, 0.9295163751, 0.8364577293
15.0000000000, 0.0147000000, 0.4797362839, 0.8835135978, 1.0855783224, 0.5319570303
16.0000000000, 0.0147000000, 0.4810174457, 0.8789003622, 1.0848705769, 0.6560724378
17.0000000000, 0.0102900000, 0.4001866025, 0.9016189482, 1.1005488634, 0.7926368713
