epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.1174962055, 0.3157675031, 2.0681548119, 0.0777755678
1.0000000000, 0.0300000000, 1.5916150808, 0.5981615302, 1.5274688005, 0.3650341630
2.0000000000, 0.0300000000, 1.1625104062, 0.7396715563, 1.3280498981, 0.6441163421
3.0000000000, 0.0300000000, 0.9693948654, 0.7840750311, 1.0798832178, 0.7409853339
4.0000000000, 0.0300000000, 0.8175883191, 0.8181215255, 1.1166568995, 0.7466567755
5.0000000000, 0.0300000000, 0.7374076396, 0.8226989191, 1.0767049789, 0.7755411267
6.0000000000, 0.0300000000, 0.6937342519, 0.8396424074, 11.1636619568, 0.1968022436
7.0000000000, 0.0300000000, 0.7234692313, 0.8251757314, 0.9695899487, 0.8292564750
8.0000000000, 0.0300000000, 0.7509216061, 0.8067590417, 1.4865366220, 0.6312031746
9.0000000000, 0.0300000000, 0.6426478866, 0.8373605497, 0.8985180259, 0.8056636453
10.0000000000, 0.0300000000, 0.6109440387, 0.8455122514, 1.2965468168, 0.7569894195
11.0000000000, 0.0300000000, 0.6413567122, 0.8470438616, 0.9836579561, 0.7684179544
12.0000000000, 0.0210000000, 0.5123321628, 0.8716378529, 0.8430362940, 0.8087587357
13.0000000000, 0.0210000000, 0.5404901030, 0.8603045922, 1.1893385649, 0.6654413342
14.0000000000, 0.0210000000, 0.5926699727, 0.8433685284, 1.0459871292, 0.6691040397
15.0000000000, 0.0210000000, 0.6852556784, 0.8400571337, 1.3212639093, 0.7471131086
16.0000000000, 0.0147000000, 0.6225584610, 0.8491091141, 0.9456341863, 0.7951489091
