epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.9909239402, 0.2998491410, 1.8078210354, 0.4084914029
1.0000000000, 0.0300000000, 1.4304699346, 0.5922805920, 1.3181631565, 0.5727374554
2.0000000000, 0.0300000000, 0.8965921678, 0.7646520734, 0.9633310437, 0.7310676575
3.0000000000, 0.0300000000, 0.6583498254, 0.8333659839, 0.8214671016, 0.7587417960
4.0000000000, 0.0300000000, 0.5810320591, 0.8510774739, 0.7293627858, 0.8013970256
5.0000000000, 0.0300000000, 0.5377723223, 0.8578259794, 0.6599258184, 0.8172227144
6.0000000000, 0.0300000000, 0.4987098157, 0.8648598772, 0.6290662885, 0.8089243174
7.0000000000, 0.0300000000, 0.5483007093, 0.8554924540, 0.6705830693, 0.8123274446
8.0000000000, 0.0300000000, 0.4745190215, 0.8694359829, 0.7010712028, 0.8326406479
9.0000000000, 0.0300000000, 0.4612796836, 0.8712772976, 0.6433273554, 0.8115841150
10.0000000000, 0.0300000000, 0.4886067016, 0.8620697945, 0.6327773929, 0.8237598538
11.0000000000, 0.0300000000, 0.4462056471, 0.8720685217, 0.6909021139, 0.8058789968
12.0000000000, 0.0300000000, 0.4321031361, 0.8757871123, 0.6947511435, 0.7924163938
13.0000000000, 0.0210000000, 0.3989306599, 0.8822716581, 0.6071618795, 0.8159524202
14.0000000000, 0.0210000000, 0.4054660575, 0.8817255355, 0.6585486531, 0.8163837194
15.0000000000, 0.0210000000, 0.3984477222, 0.8823171098, 0.7933164835, 0.7684990168
16.0000000000, 0.0210000000, 0.3883220620, 0.8849482937, 0.6451542377, 0.8223342896
17.0000000000, 0.0147000000, 0.3549214077, 0.8935121138, 0.6141782999, 0.8194137812
