epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.0473530091, 0.2257652001, 2.2003536224, 0.0780555531
1.0000000000, 0.0300000000, 1.5590320408, 0.3322867523, 2.1388957500, 0.1741555035
2.0000000000, 0.0300000000, 1.3236108322, 0.4487052204, 2.1049482822, 0.2603300214
3.0000000000, 0.0300000000, 1.1470277735, 0.5409523075, 1.6180573702, 0.4677426219
4.0000000000, 0.0300000000, 1.0542431435, 0.6002075215, 1.2531955242, 0.6612707973
5.0000000000, 0.0300000000, 0.8763278816, 0.7469413211, 1.3205317259, 0.6574863195
6.0000000000, 0.0300000000, 0.7521317392, 0.8047391331, 1.2336342335, 0.6081944704
7.0000000000, 0.0300000000, 0.7849437238, 0.7870778976, 2.3796317577, 0.3068570793
8.0000000000, 0.0300000000, 0.8004182631, 0.7846880323, 1.1948704720, 0.6208547354
9.0000000000, 0.0210000000, 0.6079227046, 0.8360559104, 1.0681954622, 0.7556495667
10.0000000000, 0.0210000000, 0.6461362316, 0.8174271189, 1.9335331917, 0.4229863882
11.0000000000, 0.0210000000, 0.6737897675, 0.8183329547, 1.1430540085, 0.6877660751
12.0000000000, 0.0210000000, 0.5952881366, 0.8415514656, 1.5413365364, 0.5880368352
13.0000000000, 0.0210000000, 0.6134543163, 0.8387877260, 0.9559032917, 0.7703776360
14.0000000000, 0.0210000000, 0.5759589618, 0.8425310711, 1.3152601719, 0.6629964709
15.0000000000, 0.0210000000, 0.6997637969, 0.8109744214, 1.8410025835, 0.4965012372
16.0000000000, 0.0210000000, 0.6277582297, 0.8301457438, 1.0949697495, 0.7253753543
17.0000000000, 0.0210000000, 0.5945033450, 0.8319281688, 1.2462196350, 0.6644796133
18.0000000000, 0.0147000000, 0.5759786062, 0.8370305803, 1.0831116438, 0.7485835552
19.0000000000, 0.0147000000, 0.5192584647, 0.8554386326, 1.0113852024, 0.7886064649
20.0000000000, 0.0147000000, 0.5197540417, 0.8595625534, 1.4309777021, 0.6282570958
21.0000000000, 0.0147000000, 0.6140786967, 0.8344251188, 1.1123436689, 0.7032433152
22.0000000000, 0.0147000000, 0.4968929372, 0.8646175474, 1.1402875185, 0.7749953270
23.0000000000, 0.0147000000, 0.5439743005, 0.8552293700, 1.0068616867, 0.7888887525
24.0000000000, 0.0102900000, 0.4524946275, 0.8790124407, 1.0823857784, 0.7424240708
25.0000000000, 0.0102900000, 0.4177933122, 0.8886492562, 0.9926826954, 0.7916023135
26.0000000000, 0.0102900000, 0.4779552875, 0.8637920665, 1.0021374226, 0.7451207042
27.0000000000, 0.0102900000, 0.3906103868, 0.8957700257, 1.1114035845, 0.8100019097
28.0000000000, 0.0102900000, 0.4928607178, 0.8647303914, 1.6275196075, 0.5178735852
29.0000000000, 0.0102900000, 0.5045997965, 0.8626534443, 1.0131430626, 0.7751364112
30.0000000000, 0.0102900000, 0.4431656100, 0.8728701999, 1.3441075087, 0.6556295156
31.0000000000, 0.0102900000, 0.4468878190, 0.8790186884, 1.0209213495, 0.7803670764
32.0000000000, 0.0072030000, 0.3593825334, 0.9028704221, 1.0265656710, 0.7452266812
33.0000000000, 0.0072030000, 0.4051142258, 0.8783104095, 1.0599831343, 0.7133693695
34.0000000000, 0.0072030000, 0.3889985247, 0.8867239542, 1.0785621405, 0.7378649116
35.0000000000, 0.0072030000, 0.4027206677, 0.8868751348, 1.3839416504, 0.6821470261
36.0000000000, 0.0050421000, 0.3816151317, 0.8969540836, 1.0830714703, 0.7979489565
