epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.9492941785, 0.2137774165, 1.7048093081, 0.2472120672
1.0000000000, 0.0300000000, 1.0805127830, 0.6350536381, 1.1217814684, 0.7654779553
2.0000000000, 0.0300000000, 0.7206992097, 0.8240887182, 0.8408219218, 0.8168097138
3.0000000000, 0.0300000000, 0.5961555661, 0.8560564719, 0.8594664335, 0.8003410101
4.0000000000, 0.0300000000, 0.6056446394, 0.8493358787, 0.7418271899, 0.8407847881
5.0000000000, 0.0300000000, 0.4838965256, 0.8746482583, 0.7953780890, 0.8107017279
6.0000000000, 0.0300000000, 0.4935824380, 0.8709618767, 0.7061579227, 0.8044708967
7.0000000000, 0.0300000000, 0.4542219306, 0.8803716387, 0.9180293679, 0.8190608025
8.0000000000, 0.0300000000, 0.5112237137, 0.8694840174, 0.7387182117, 0.8269813061
9.0000000000, 0.0210000000, 0.4111811426, 0.8916598644, 0.6795285940, 0.8346062303
10.0000000000, 0.0210000000, 0.5752726000, 0.8510487923, 0.9902772903, 0.7545253038
11.0000000000, 0.0210000000, 0.4957123600, 0.8729732834, 0.8887541294, 0.7842532992
12.0000000000, 0.0210000000, 0.4613972368, 0.8834802748, 0.8222994804, 0.8179963827
13.0000000000, 0.0147000000, 0.4132082993, 0.8916226633, 0.7906432748, 0.8414811492
