epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.0597091526, 0.2446363810, 2.2153651714, 0.0787983835
1.0000000000, 0.0300000000, 1.5429281136, 0.3719834190, 2.1975073814, 0.2395243496
2.0000000000, 0.0300000000, 1.2191082046, 0.6201581641, 2.0352861881, 0.3259098530
3.0000000000, 0.0300000000, 1.0019279827, 0.7377513670, 1.2109147310, 0.6598909497
4.0000000000, 0.0300000000, 0.8274804423, 0.7759848570, 1.0993556976, 0.7754859328
5.0000000000, 0.0300000000, 0.8310869855, 0.7720931985, 1.2308671474, 0.6884406805
6.0000000000, 0.0300000000, 0.7231333024, 0.8130074693, 0.9516982436, 0.7821476460
7.0000000000, 0.0300000000, 0.7200241081, 0.8071599719, 1.3103779554, 0.6469008327
8.0000000000, 0.0300000000, 0.7925745856, 0.7842819133, 1.1677820683, 0.7027810812
9.0000000000, 0.0300000000, 0.7807302498, 0.7988229185, 1.2423131466, 0.7547168732
10.0000000000, 0.0300000000, 0.7991910259, 0.7885999920, 1.1541143656, 0.6539704204
11.0000000000, 0.0210000000, 0.7434266690, 0.8112511023, 1.1026065350, 0.7655909657
12.0000000000, 0.0210000000, 0.6801250074, 0.8160854013, 1.0683369637, 0.6548287272
13.0000000000, 0.0210000000, 0.6507826111, 0.8284936919, 1.3396816254, 0.5796785951
14.0000000000, 0.0210000000, 0.6625091654, 0.8200646693, 1.1106147766, 0.7069531679
15.0000000000, 0.0147000000, 0.5677105339, 0.8461269659, 1.8163963556, 0.5053648353
