epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.6893151611, 0.4797495067, 1.0331646204, 0.7427613139
1.0000000000, 0.0300000000, 0.6719567315, 0.8324233905, 0.8468121886, 0.7869600058
2.0000000000, 0.0300000000, 0.4535416074, 0.8838830908, 0.7511692047, 0.8273685575
3.0000000000, 0.0300000000, 0.5697907836, 0.8642539932, 0.8011588454, 0.8236237764
4.0000000000, 0.0300000000, 0.5520690850, 0.8637723218, 0.9459780455, 0.7902037501
5.0000000000, 0.0300000000, 0.4090595810, 0.8934795717, 0.6785221696, 0.8480916619
6.0000000000, 0.0300000000, 0.3858169960, 0.8997477293, 0.7284927964, 0.8152999878
7.0000000000, 0.0300000000, 0.6621927782, 0.8297688996, 0.9237022996, 0.8217270374
8.0000000000, 0.0300000000, 0.4678313395, 0.8847113623, 0.8325263262, 0.8136943579
9.0000000000, 0.0300000000, 0.4190640237, 0.8921304670, 0.8213495612, 0.7794802785
10.0000000000, 0.0210000000, 0.3287267437, 0.9143277151, 0.6791902781, 0.8241752982
11.0000000000, 0.0210000000, 0.3745289075, 0.9016372832, 0.7192628980, 0.8108822107
12.0000000000, 0.0210000000, 0.4932102727, 0.8745232751, 0.6874588132, 0.8261789083
13.0000000000, 0.0210000000, 0.3819718458, 0.9004148106, 0.7518827319, 0.8243808150
14.0000000000, 0.0147000000, 0.3054913896, 0.9195937599, 0.7607391477, 0.7911085486
