epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.0884090787, 0.2396534299, 1.8781938553, 0.3062998950
1.0000000000, 0.0300000000, 1.5722043746, 0.4934404541, 1.4742643833, 0.4870816767
2.0000000000, 0.0300000000, 1.0592847840, 0.6996005151, 1.1506562233, 0.6653187275
3.0000000000, 0.0300000000, 0.7113433792, 0.8302274853, 1.0350240469, 0.7406473756
4.0000000000, 0.0300000000, 0.5907188102, 0.8535554053, 0.8763953447, 0.7976624966
5.0000000000, 0.0300000000, 0.5704925732, 0.8558490677, 0.6787205935, 0.8076457381
6.0000000000, 0.0300000000, 0.5152753658, 0.8648875889, 0.6795289516, 0.8198367357
7.0000000000, 0.0300000000, 0.4963390885, 0.8663472080, 0.6298330426, 0.8235837221
8.0000000000, 0.0300000000, 0.4768926457, 0.8665421071, 0.6700770259, 0.8157485723
9.0000000000, 0.0300000000, 0.4469572319, 0.8738211384, 0.7713505030, 0.8084347844
10.0000000000, 0.0300000000, 0.4688507332, 0.8671150884, 0.6426078081, 0.8252021074
11.0000000000, 0.0300000000, 0.4307271140, 0.8767645332, 0.7020715475, 0.8103929162
12.0000000000, 0.0210000000, 0.3950872964, 0.8842449491, 0.6928738952, 0.8101738095
13.0000000000, 0.0210000000, 0.3945155984, 0.8837225215, 0.6547304988, 0.8024523258
14.0000000000, 0.0210000000, 0.3715576458, 0.8896640335, 0.7748531103, 0.7809340358
15.0000000000, 0.0210000000, 0.4126682780, 0.8794448278, 0.6506400704, 0.8266928196
16.0000000000, 0.0210000000, 0.3869968973, 0.8857410559, 0.7031940222, 0.8118157387
17.0000000000, 0.0210000000, 0.3629253645, 0.8910902836, 0.6854094863, 0.8072574735
18.0000000000, 0.0210000000, 0.3733862558, 0.8890367266, 0.6112962365, 0.8268135190
19.0000000000, 0.0210000000, 0.3560331295, 0.8933235718, 0.6127965450, 0.8251133561
20.0000000000, 0.0147000000, 0.3272775576, 0.9018274270, 0.6384694576, 0.8207492232
21.0000000000, 0.0147000000, 0.3322836428, 0.8998709846, 0.6581578851, 0.8136712313
22.0000000000, 0.0147000000, 0.3260965668, 0.9029490263, 0.6244197488, 0.8257123828
23.0000000000, 0.0147000000, 0.3147563632, 0.9047649102, 0.6184406281, 0.8216214776
24.0000000000, 0.0102900000, 0.2949857814, 0.9106503378, 0.6601729989, 0.8278743625
