epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.9242991627, 0.3761723573, 1.6162340641, 0.4523312449
1.0000000000, 0.0300000000, 1.0635741376, 0.7103804582, 1.0337107182, 0.6254331470
2.0000000000, 0.0300000000, 0.6652771076, 0.8434260565, 0.8855438232, 0.6663089395
3.0000000000, 0.0300000000, 0.6087965923, 0.8494635317, 0.7423871756, 0.8185607791
4.0000000000, 0.0300000000, 0.6395178201, 0.8436807115, 1.3841859102, 0.7580950260
5.0000000000, 0.0300000000, 0.5459247847, 0.8640187096, 0.7345242500, 0.8099647760
6.0000000000, 0.0300000000, 0.5826867091, 0.8563479263, 0.8851785064, 0.7712647319
7.0000000000, 0.0300000000, 0.4776999827, 0.8797345425, 0.6496628523, 0.8428687453
8.0000000000, 0.0300000000, 0.5336881222, 0.8661418387, 0.7091267705, 0.8220764995
9.0000000000, 0.0300000000, 0.4794182959, 0.8767413180, 0.6604298353, 0.8403951526
10.0000000000, 0.0300000000, 0.4820190742, 0.8748367839, 0.9169092774, 0.7127865553
11.0000000000, 0.0300000000, 0.5305100970, 0.8589575546, 0.8302178383, 0.7385540605
12.0000000000, 0.0210000000, 0.4339996487, 0.8834478011, 0.7637943029, 0.8019164801
13.0000000000, 0.0210000000, 0.4502675878, 0.8802392638, 0.7706537843, 0.8259565234
14.0000000000, 0.0210000000, 0.4185750868, 0.8896646345, 0.6911244392, 0.8415670395
15.0000000000, 0.0210000000, 0.5533599052, 0.8474776458, 0.9293193221, 0.7992787361
16.0000000000, 0.0147000000, 0.4023894246, 0.8871864653, 0.6361774206, 0.8402433395
