epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.6650777838, 0.5731829565, 1.1378175020, 0.7192320228
1.0000000000, 0.0300000000, 0.6446678182, 0.8490536569, 0.7841969728, 0.7357400656
2.0000000000, 0.0300000000, 0.5213602344, 0.8775906710, 0.6595763564, 0.8217440844
3.0000000000, 0.0300000000, 0.4529103555, 0.8861060932, 0.7290666699, 0.8265002370
4.0000000000, 0.0300000000, 0.5126889313, 0.8785821826, 0.7693221569, 0.7456128597
5.0000000000, 0.0300000000, 0.5032444167, 0.8733919410, 0.7162767053, 0.8406256437
6.0000000000, 0.0300000000, 0.6005563628, 0.8609880495, 0.9623066783, 0.7333099842
7.0000000000, 0.0300000000, 0.5294628855, 0.8703428662, 0.7242692709, 0.8319749832
8.0000000000, 0.0300000000, 0.4334608378, 0.8882862461, 0.7991768718, 0.8075712919
9.0000000000, 0.0300000000, 0.5465291936, 0.8676206353, 0.7240730524, 0.7919269800
10.0000000000, 0.0210000000, 0.3722231802, 0.9075708490, 0.6851658821, 0.8010212779
11.0000000000, 0.0210000000, 0.4393708706, 0.8918530639, 0.7663122416, 0.8064088225
12.0000000000, 0.0210000000, 0.3412703779, 0.9124968648, 0.6497001648, 0.8140001893
13.0000000000, 0.0210000000, 0.3717364338, 0.9054105878, 1.2479976416, 0.7757368684
14.0000000000, 0.0147000000, 0.3197133762, 0.9193160905, 0.8931766748, 0.8147540689
