epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.7950235807, 0.3821626457, 1.2494721413, 0.5907477736
1.0000000000, 0.0300000000, 0.7426632356, 0.8077020568, 0.9022345543, 0.8057760000
2.0000000000, 0.0300000000, 0.5631513240, 0.8676061847, 1.0349022150, 0.7381575108
3.0000000000, 0.0300000000, 0.4653061725, 0.8880412966, 0.8118034601, 0.8112251163
4.0000000000, 0.0300000000, 0.3880729281, 0.9043499796, 164.3381500244, 0.0560557283
5.0000000000, 0.0300000000, 0.5973098878, 0.8557031991, 3.9160587788, 0.5761107802
6.0000000000, 0.0300000000, 0.4204854257, 0.8942488873, 0.9151673913, 0.8152536750
7.0000000000, 0.0300000000, 0.5181463748, 0.8707086831, 0.7343375087, 0.8361580372
8.0000000000, 0.0300000000, 0.4252635964, 0.8913352629, 0.7070773840, 0.8415873051
9.0000000000, 0.0300000000, 0.3833664064, 0.9012707913, 0.8019850850, 0.8100574017
10.0000000000, 0.0300000000, 0.4519822652, 0.8861298143, 1.0034407377, 0.7352529168
11.0000000000, 0.0300000000, 0.4034701462, 0.8955548584, 0.9135308266, 0.8339633346
12.0000000000, 0.0300000000, 0.4568231961, 0.8873602121, 0.7826039791, 0.8358018398
13.0000000000, 0.0210000000, 0.3448018215, 0.9082376229, 0.7100499272, 0.8283628821
14.0000000000, 0.0210000000, 0.3152669860, 0.9162139026, 0.8637203574, 0.8220641613
15.0000000000, 0.0210000000, 0.7977601030, 0.8121700062, 1.2763557434, 0.7267974615
16.0000000000, 0.0210000000, 0.5018325591, 0.8726373903, 0.7716644406, 0.8174276352
17.0000000000, 0.0147000000, 0.3871836635, 0.8988757668, 0.6557950377, 0.8317301273
