epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.0868059892, 0.2084439697, 2.2465956211, 0.0993828699
1.0000000000, 0.0300000000, 1.5623632778, 0.3378942787, 2.0235984325, 0.1729365736
2.0000000000, 0.0300000000, 1.3467016220, 0.4417141924, 2.0528211594, 0.2294121981
3.0000000000, 0.0300000000, 1.1542307115, 0.5217410338, 1.6034806967, 0.3632886708
4.0000000000, 0.0300000000, 1.0830633478, 0.5368149176, 1.8294090033, 0.3877896070
5.0000000000, 0.0300000000, 1.0046210258, 0.5610284867, 1.6171879768, 0.3108077049
6.0000000000, 0.0300000000, 1.0846250684, 0.5327458745, 1.4726058245, 0.3853729069
7.0000000000, 0.0300000000, 1.0062410243, 0.5884056436, 1.4709970951, 0.4558928013
8.0000000000, 0.0300000000, 1.0167322128, 0.5888232744, 2.9338374138, 0.2811438739
9.0000000000, 0.0300000000, 1.2000108168, 0.5034309122, 1.5805165768, 0.3788549006
10.0000000000, 0.0300000000, 1.1229814794, 0.5413123156, 1.7366300821, 0.3765819073
11.0000000000, 0.0300000000, 1.0294067968, 0.5799630044, 1.2440357208, 0.5911414027
12.0000000000, 0.0300000000, 0.9453286753, 0.6113048293, 1.5175551176, 0.5643547773
13.0000000000, 0.0300000000, 0.9473381012, 0.6165392693, 1.2747987509, 0.5578010082
14.0000000000, 0.0300000000, 0.9219680243, 0.6261808617, 1.4038072824, 0.4849363565
15.0000000000, 0.0300000000, 0.9236438313, 0.6230701104, 1.4216064215, 0.5060095787
16.0000000000, 0.0210000000, 0.8445568928, 0.6529487542, 1.4718134403, 0.4921161532
17.0000000000, 0.0210000000, 0.8895969546, 0.6452699133, 1.2439901829, 0.6201213002
18.0000000000, 0.0210000000, 0.8186642590, 0.6614121872, 1.1669106483, 0.5975823998
19.0000000000, 0.0210000000, 0.8299558480, 0.6758247382, 1.2899525166, 0.5895498395
20.0000000000, 0.0210000000, 0.8413976206, 0.6683954984, 1.6236699820, 0.4858381152
21.0000000000, 0.0210000000, 0.8221563457, 0.6822056755, 2.3432850838, 0.2426557094
22.0000000000, 0.0147000000, 0.8582928235, 0.6718480564, 1.2442959547, 0.6531213522
23.0000000000, 0.0147000000, 0.7381344291, 0.7194331869, 1.7034739256, 0.4482584298
24.0000000000, 0.0147000000, 0.7823463284, 0.7107808722, 1.2413107157, 0.6121165156
25.0000000000, 0.0147000000, 0.6997806097, 0.7436317097, 1.4282450676, 0.5189282298
26.0000000000, 0.0147000000, 0.6986630365, 0.7465321321, 1.3067830801, 0.5707054734
27.0000000000, 0.0102900000, 0.6385792204, 0.7759686770, 1.1605070829, 0.6793486476
28.0000000000, 0.0102900000, 0.6721207530, 0.7626520914, 1.2169415951, 0.6998267174
29.0000000000, 0.0102900000, 0.6081963383, 0.7839014259, 1.1957950592, 0.6842620969
30.0000000000, 0.0102900000, 0.5759452748, 0.7962872030, 1.2828232050, 0.6383442879
31.0000000000, 0.0102900000, 0.6461449281, 0.7681676111, 1.6407054663, 0.6246377230
32.0000000000, 0.0102900000, 0.6085900262, 0.7824769005, 1.2242934704, 0.7334001660
33.0000000000, 0.0102900000, 0.5581628553, 0.8053093142, 1.1794427633, 0.7080708146
34.0000000000, 0.0102900000, 0.5489531883, 0.8062954088, 1.3510352373, 0.6641273499
35.0000000000, 0.0102900000, 0.6254925925, 0.7810712139, 1.2035603523, 0.6939502954
36.0000000000, 0.0102900000, 0.6636353778, 0.7661104202, 1.5615681410, 0.5405648351
37.0000000000, 0.0072030000, 0.6057440662, 0.7909089838, 1.1661102772, 0.7048844695
38.0000000000, 0.0072030000, 0.5099200544, 0.8239568805, 1.2889480591, 0.7034180760
39.0000000000, 0.0072030000, 0.4819457659, 0.8308242436, 1.2790105343, 0.7148457766
40.0000000000, 0.0072030000, 0.5377818992, 0.8139790846, 1.3982460499, 0.6592974663
41.0000000000, 0.0050421000, 0.4962541871, 0.8305877765, 1.1956188679, 0.6810955405
